Key,English,Hindi,Marathi,Arabic
FM_Q30_A0,Cannot be performed,प्रदर्शन नहीं किया जा सकता,करता येणार नाही,لا يمكن تنفيذه
FM_Q30_A1,Can hold ball but not against tug,गेंद को पकड़ सकता है लेकिन खींचने पर नहीं।,"चेंडू पकडून ठेवू शकतो, पण ओढीसमोर नाही.",يستطيع الإمساك بالكرة لكن ليس في مواجهة الشد.
FM_Q30_A2,Can hold ball against a tug,खींचने पर भी गेंद को रोक सकता है,ओढ असूनही चेंडू पकडून ठेवू शकतो,يمكنه تثبيت الكرة في مواجهة الشد
FM_SD_Section,D. Coordination / Speed,डी. समन्वय / गति,डी. समन्वय / वेग,د. التنسيق / السرعة
FM_Q31_Title,Tremor,भूकंप के झटके,कंपन,الرعشة
FM_Q31_Instruction,Assess tremor during at least 1 completed movement.,कम से कम एक पूर्ण गतिविधि के दौरान कंपन का आकलन करें।,किमान एक हालचाल पूर्ण होत असताना कंपनाचे मूल्यांकन करा.,قم بتقييم الرعاش أثناء حركة واحدة مكتملة على الأقل.
FM_Q31_A0,Marked tremor,तीव्र कंपन,लक्षणीय कंप,رعشة ملحوظة
FM_Q31_A1,Slight tremor,हल्का कंपन,हलका कंप,رعشة طفيفة
FM_Q31_A2,No tremor,कोई कंपन नहीं,कंपन नाही,لا يوجد ارتعاش
FM_Q32_Title,Dysmetria,डिस्मेट्रिया,डिस्मेट्रिया,خلل التناسق الحركي
FM_Q32_Instruction,Assess dysmetria during at least 1 completed movement.,कम से कम एक पूर्ण गतिविधि के दौरान डिस्मेट्रिया का आकलन करें।,किमान एका पूर्ण झालेल्या हालचालीदरम्यान डायस्मेट्रियाचे मूल्यांकन करा.,قم بتقييم خلل التناسق الحركي خلال حركة واحدة مكتملة على الأقل.
FM_Q32_A0,Pronounced or unsystematic,स्पष्ट या अव्यवस्थित,उच्चारित किंवा अव्यवस्थित,واضح أو غير منهجي
FM_Q32_A1,Slight and systematic,सूक्ष्म और व्यवस्थित,किंचित आणि पद्धतशीर,طفيف ومنهجي
FM_Q32_A2,No dysmetria,कोई डिसमेट्रिया नहीं,डिसमेट्रिया नाही,لا يوجد خلل في التناسق الحركي
FM_Q33_Title,Movement Time,आंदोलन समय,हालचालीची वेळ,زمن الحركة
FM_Q33_Instruction,Start and end with the hand on the knee. Compare with unaffected side.,घुटने पर हाथ रखकर शुरू और खत्म करें। दूसरे हिस्से से तुलना करें।,सुरुवात आणि शेवट गुडघ्यावर हात ठेवून करा. निरोगी बाजूशी तुलना करा.,ابدأ وانتهي بوضع اليد على الركبة. قارن ذلك بالجانب غير المصاب.
FM_Q33_A0,At least 6 seconds slower than unaffected side,अप्रभावित पक्ष की तुलना में कम से कम 6 सेकंड धीमा,अप्रभावित बाजूपेक्षा किमान ६ सेकंद धीमे,أبطأ بست ثوانٍ على الأقل من الجانب غير المصاب
FM_Q33_A1,2–5 seconds slower than unaffected side,अप्रभावित पक्ष की तुलना में 2-5 सेकंड धीमा,अप्रभावित बाजूपेक्षा २-५ सेकंद धीमे,أبطأ من 2 إلى 5 ثوانٍ من الجانب غير المصاب
FM_Q33_A2,Less than 2 seconds difference,2 सेकंड से भी कम का अंतर,२ सेकंदांपेक्षा कमी फरक,فرق أقل من ثانيتين
FM_SH_Section,H. Sensation,एच. सनसनी,एच. संवेदना,إحساس ح
FM_Q34_Title,Light Touch - Upper Arm,हल्का स्पर्श - ऊपरी बांह,हलका स्पर्श - दंड,لمسة خفيفة - أعلى الذراع
FM_Q34_Instruction,Eyes closed. Compare with the unaffected side.,"आंखें बंद करके, अप्रभावित हिस्से से तुलना करें।",डोळे बंद करा. अप्रभावित बाजूशी तुलना करा.,أغمض عينيك. قارن ذلك بالجانب غير المصاب.
FM_Q34_A0,Anesthesia,बेहोशी,भूल,التخدير
FM_Q34_A1,Hypoesthesia / Dysesthesia,हाइपोएस्थेसिया / डिसएस्थेसिया,हायपोस्थेशिया / डायस्थेशिया,نقص الإحساس / خلل الإحساس
FM_Q34_A2,Normal,सामान्य,सामान्य,طبيعي
FM_Q35_Title,Light Touch - Forearm,हल्का स्पर्श - अग्रबाहु,हलका स्पर्श - मनगटावर,لمسة خفيفة - الساعد
FM_Q35_Instruction,Eyes closed. Compare with the unaffected side.,"आंखें बंद करके, अप्रभावित हिस्से से तुलना करें।",डोळे बंद करा. अप्रभावित बाजूशी तुलना करा.,أغمض عينيك. قارن ذلك بالجانب غير المصاب.
FM_Q35_A0,Anesthesia,बेहोशी,भूल,التخدير
FM_Q35_A1,Hypoesthesia / Dysesthesia,हाइपोएस्थेसिया / डिसएस्थेसिया,हायपोस्थेशिया / डायस्थेशिया,نقص الإحساس / خلل الإحساس
FM_Q35_A2,Normal,सामान्य,सामान्य,طبيعي
FM_Q36_Title,Light Touch - Palm,हल्का स्पर्श - हथेली,हलका स्पर्श - तळहात,لمسة خفيفة - راحة اليد
FM_Q36_Instruction,Eyes closed. Palmary surface of the hand. Compare with the unaffected side.,आंखें बंद करके हाथ की हथेली को देखें। अप्रभावित हाथ के हिस्से से तुलना करें।,डोळे मिटलेले. हाताचा तळवा. निरोगी बाजूशी तुलना करा.,عيون مغلقة. سطح راحة اليد. قارن بالجانب غير المصاب.
FM_Q36_A0,Anesthesia,बेहोशी,भूल,التخدير
FM_Q36_A1,Hypoesthesia / Dysesthesia,हाइपोएस्थेसिया / डिसएस्थेसिया,हायपोस्थेशिया / डायस्थेशिया,نقص الإحساس / خلل الإحساس
FM_Q36_A2,Normal,सामान्य,सामान्य,طبيعي
FM_Q37_Title,Position Sense - Shoulder,स्थिति बोध - कंधा,स्थितीची जाणीव - खांदा,الإحساس بالوضع - الكتف
FM_Q37_Instruction,Eyes closed. Small alterations in position tested. Compare with unaffected side.,आंखें बंद करके परीक्षण किया गया। स्थिति में छोटे-छोटे बदलावों का परीक्षण किया गया। अप्रभावित पक्ष से तुलना करें।,डोळे मिटलेले. स्थितीमध्ये लहान बदल तपासून पाहिले. अप्रभावित बाजूशी तुलना करा.,أغمض العينين. تم اختبار تغييرات طفيفة في الوضع. قارن بالجانب غير المصاب.
FM_Q37_A0,"Less than 3/4 correct, or absence of response","3/4 से कम सही उत्तर, या उत्तर का अभाव","तीन-चतुर्थांशपेक्षा कमी बरोबर, किंवा प्रतिसादाचा अभाव",أقل من ثلاثة أرباع الإجابة صحيحة، أو عدم وجود إجابة
FM_Q37_A1,"3/4 correct, or considerable difference from unaffected side","3/4 सही, या अप्रभावित पक्ष से काफी अंतर","३/४ बरोबर, किंवा अप्रभावित बाजूपेक्षा लक्षणीय फरक",صحيح بنسبة 3/4، أو فرق كبير عن الجانب غير المتأثر
FM_Q37_A2,"Correct 100%, little or no difference","100% सही, बहुत कम या नगण्य अंतर।","१००% बरोबर, अगदी कमी किंवा कोणताही फरक नाही",صحيح بنسبة 100%، فرق طفيف أو معدوم
FM_Q38_Title,Position Sense - Elbow,स्थिति बोध - कोहनी,स्थितीची जाणीव - कोपर,الإحساس بالوضع - الكوع
FM_Q38_Instruction,Eyes closed. Small alterations in position tested. Compare with unaffected side.,आंखें बंद करके परीक्षण किया गया। स्थिति में छोटे-छोटे बदलावों का परीक्षण किया गया। अप्रभावित पक्ष से तुलना करें।,डोळे मिटलेले. स्थितीमध्ये लहान बदल तपासून पाहिले. अप्रभावित बाजूशी तुलना करा.,أغمض العينين. تم اختبار تغييرات طفيفة في الوضع. قارن بالجانب غير المصاب.
FM_Q38_A0,"Less than 3/4 correct, or absence of response","3/4 से कम सही उत्तर, या उत्तर का अभाव","तीन-चतुर्थांशपेक्षा कमी बरोबर, किंवा प्रतिसादाचा अभाव",أقل من ثلاثة أرباع الإجابة صحيحة، أو عدم وجود إجابة
FM_Q38_A1,"3/4 correct, or considerable difference from unaffected side","3/4 सही, या अप्रभावित पक्ष से काफी अंतर","३/४ बरोबर, किंवा अप्रभावित बाजूपेक्षा लक्षणीय फरक",صحيح بنسبة 3/4، أو فرق كبير عن الجانب غير المتأثر
FM_Q38_A2,"Correct 100%, little or no difference","100% सही, बहुत कम या नगण्य अंतर।","१००% बरोबर, अगदी कमी किंवा कोणताही फरक नाही",صحيح بنسبة 100%، فرق طفيف أو معدوم
FM_Q39_Title,Position Sense - Wrist,स्थिति बोध - कलाई,स्थितीची जाणीव - मनगट,استشعار الوضع - المعصم
FM_Q39_Instruction,Eyes closed. Small alterations in position tested. Compare with unaffected side.,आंखें बंद करके परीक्षण किया गया। स्थिति में छोटे-छोटे बदलावों का परीक्षण किया गया। अप्रभावित पक्ष से तुलना करें।,डोळे मिटलेले. स्थितीमध्ये लहान बदल तपासून पाहिले. अप्रभावित बाजूशी तुलना करा.,أغمض العينين. تم اختبار تغييرات طفيفة في الوضع. قارن بالجانب غير المصاب.
FM_Q39_A0,"Less than 3/4 correct, or absence of response","3/4 से कम सही उत्तर, या उत्तर का अभाव","तीन-चतुर्थांशपेक्षा कमी बरोबर, किंवा प्रतिसादाचा अभाव",أقل من ثلاثة أرباع الإجابة صحيحة، أو عدم وجود إجابة
FM_Q39_A1,"3/4 correct, or considerable difference from unaffected side","3/4 सही, या अप्रभावित पक्ष से काफी अंतर","३/४ बरोबर, किंवा अप्रभावित बाजूपेक्षा लक्षणीय फरक",صحيح بنسبة 3/4، أو فرق كبير عن الجانب غير المتأثر
FM_Q39_A2,"Correct 100%, little or no difference","100% सही, बहुत कम या नगण्य अंतर।","१००% बरोबर, अगदी कमी किंवा कोणताही फरक नाही",صحيح بنسبة 100%، فرق طفيف أو معدوم
FM_Q40_Title,Position Sense - Thumb (IP-joint),स्थिति बोध - अंगूठा (आईपी-जोड़),स्थितीची जाणीव - अंगठा (आयपी-जॉइंट),الإحساس بالموضع - الإبهام (مفصل السلامية القريبة)
FM_Q40_Instruction,Eyes closed. Small alterations in position tested. Compare with unaffected side.,आंखें बंद करके परीक्षण किया गया। स्थिति में छोटे-छोटे बदलावों का परीक्षण किया गया। अप्रभावित पक्ष से तुलना करें।,डोळे मिटलेले. स्थितीमध्ये लहान बदल तपासून पाहिले. अप्रभावित बाजूशी तुलना करा.,أغمض العينين. تم اختبار تغييرات طفيفة في الوضع. قارن بالجانب غير المصاب.
FM_Q40_A0,"Less than 3/4 correct, or absence of response","3/4 से कम सही उत्तर, या उत्तर का अभाव","तीन-चतुर्थांशपेक्षा कमी बरोबर, किंवा प्रतिसादाचा अभाव",أقل من ثلاثة أرباع الإجابة صحيحة، أو عدم وجود إجابة
FM_Q40_A1,"3/4 correct, or considerable difference from unaffected side","3/4 सही, या अप्रभावित पक्ष से काफी अंतर","३/४ बरोबर, किंवा अप्रभावित बाजूपेक्षा लक्षणीय फरक",صحيح بنسبة 3/4، أو فرق كبير عن الجانب غير المتأثر
FM_Q40_A2,"Correct 100%, little or no difference","100% सही, बहुत कम या नगण्य अंतर।","१००% बरोबर, अगदी कमी किंवा कोणताही फरक नाही",صحيح بنسبة 100%، فرق طفيف أو معدوم
FM_SJ1_Section,J. Passive Joint Motion,जे. निष्क्रिय संयुक्त गति,जे. निष्क्रिय संयुक्त हालचाल,ج. الحركة المشتركة السلبية
FM_Q41_Title,Shoulder Flexion (0° - 180°),कंधे का झुकाव (0° - 180°),खांद्याचे वाकणे (०° - १८०°),ثني الكتف (0° - 180°)
FM_Q41_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q41_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q41_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q41_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q42_Title,Shoulder Abduction (0° - 90°),कंधे का अपहरण (0° - 90°),खांद्याचे अपवर्तन (०° - ९०°),تبعيد الكتف (0° - 90°)
FM_Q42_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q42_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q42_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q42_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q43_Title,Shoulder External Rotation,कंधे का बाह्य घुमाव,खांद्याचे बाह्य रोटेशन,دوران الكتف الخارجي
FM_Q43_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q43_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q43_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q43_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q44_Title,Shoulder Internal Rotation,कंधे का आंतरिक घुमाव,खांद्याचे अंतर्गत रोटेशन,الدوران الداخلي للكتف
FM_Q44_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q44_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q44_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q44_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q45_Title,Elbow Flexion,कोहनी का फ्लेक्सन,कोपर वाकवणे,ثني الكوع
FM_Q45_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q45_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q45_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q45_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q46_Title,Elbow Extension,कोहनी का विस्तार,कोपर विस्तार,تمديد الكوع
FM_Q46_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q46_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q46_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q46_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q47_Title,Forearm Pronation,अग्रबाहु प्रोनेशन,मनगटाचे प्रोनेशन,استلقاء الساعد
FM_Q47_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q47_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q47_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q47_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q48_Title,Forearm Supination,अग्रबाहु सुपिनेशन,मनगटाचे सुपिनेशन,استلقاء الساعد
FM_Q48_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q48_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q48_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q48_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q49_Title,Wrist Flexion,कलाई का झुकाव,मनगटाचे वळण,ثني الرسغ
FM_Q49_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q49_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q49_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q49_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q50_Title,Wrist Extension,कलाई का विस्तार,मनगटाचा विस्तार,تمديد الرسغ
FM_Q50_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q50_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q50_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q50_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q51_Title,Finger Flexion,उंगली का मुड़ना,बोटांचे वळण,ثني الأصابع
FM_Q51_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q51_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q51_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q51_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_Q52_Title,Finger Extension,उंगली का विस्तार,बोटांचा विस्तार,تمديد الأصابع
FM_Q52_Instruction,Sitting position. Compare with the unaffected side.,बैठने की स्थिति। अप्रभावित पक्ष से तुलना करें।,बसण्याची स्थिती. अप्रभावित बाजूशी तुलना करा.,وضعية الجلوس. قارنها بالجانب غير المصاب.
FM_Q52_A0,Only a few degrees of motion (less than 10° in shoulder),केवल कुछ डिग्री की गति (कंधे में 10 डिग्री से कम),फक्त काही अंशांची हालचाल (खांद्यामध्ये १०° पेक्षा कमी),بضع درجات فقط من الحركة (أقل من 10 درجات في الكتف)
FM_Q52_A1,Decreased range of motion,गति की सीमा में कमी,हालचालीची मर्यादित श्रेणी,انخفاض نطاق الحركة
FM_Q52_A2,Normal range of motion,गति की सामान्य सीमा,हालचालीची सामान्य श्रेणी,نطاق الحركة الطبيعي
FM_SJ2_Section,J. Joint Pain,जे. जोड़ों का दर्द,जे. सांधेदुखी,ألم المفاصل
FM_Q53_Title,Shoulder Flexion,कंधे का फ्लेक्सन,खांद्याचे वाकणे,ثني الكتف
FM_Q53_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q53_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q53_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q53_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q54_Title,Shoulder Abduction,कंधे का अपहरण,खांद्याचे अपहरण,تبعيد الكتف
FM_Q54_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q54_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q54_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q54_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q55_Title,Shoulder External Rotation,कंधे का बाह्य घुमाव,खांद्याचे बाह्य रोटेशन,دوران الكتف الخارجي
FM_Q55_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q55_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q55_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q55_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q56_Title,Shoulder Internal Rotation,कंधे का आंतरिक घुमाव,खांद्याचे अंतर्गत रोटेशन,الدوران الداخلي للكتف
FM_Q56_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q56_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q56_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q56_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q57_Title,Elbow Flexion,कोहनी का फ्लेक्सन,कोपर वाकवणे,ثني الكوع
FM_Q57_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q57_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q57_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q57_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q58_Title,Elbow Extension,कोहनी का विस्तार,कोपर विस्तार,تمديد الكوع
FM_Q58_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q58_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q58_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q58_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q59_Title,Forearm Pronation,अग्रबाहु प्रोनेशन,मनगटाचे प्रोनेशन,استلقاء الساعد
FM_Q59_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q59_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q59_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q59_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
